Timestamp,Actual_FPS,Memory_MB,Active_Classes
2026-08-18T18:12:43.517063,0.74,445.76,['person']
2026-08-18T18:12:44.524201,4.65,469.88,['person']
2026-08-18T18:12:45.583702,4.84,469.74,['person']
2026-08-18T18:12:46.584712,4.88,469.84,['person']
2026-08-18T18:12:47.604271,4.83,469.85,['person']
2026-08-18T18:12:48.661877,4.70,469.85,['person']
2026-08-18T18:12:49.709920,4.82,469.86,['person']
2026-08-18T18:12:50.705530,4.96,470.11,['person']
2026-08-18T18:12:51.729516,4.89,470.11,['person']
2026-08-18T18:12:52.775421,4.76,472.94,['person']
2026-08-18T18:12:53.820799,4.84,472.94,['person']
2026-08-18T18:12:54.854593,4.91,472.94,['person']
2026-08-18T18:12:55.896465,4.78,472.94,['person']
2026-08-18T18:12:56.935998,4.70,471.10,['person']
2026-08-18T18:12:57.953564,4.90,471.10,['person']
2026-08-18T18:12:58.974218,4.90,471.10,['person']
2026-08-18T18:13:00.062615,4.71,471.10,['person']
2026-08-18T18:13:01.052383,4.97,471.01,['person']
2026-08-18T18:13:02.092586,4.81,471.01,['person']
2026-08-18T18:13:03.115786,4.89,471.01,['person']
2026-08-18T18:13:04.132166,4.89,471.01,['person']
2026-08-18T18:13:05.212316,4.78,470.98,['person']
2026-08-18T18:13:06.190588,4.96,472.85,['person']
2026-08-18T18:13:07.218114,4.89,472.85,['person']
2026-08-18T18:13:08.269694,4.76,472.85,['person']
2026-08-18T18:13:09.329361,4.82,472.85,['person']
2026-08-18T18:13:10.331666,4.80,472.72,['person']
2026-08-18T18:13:11.385631,4.77,472.85,['person']
2026-08-18T18:13:12.411864,4.89,472.85,['person']
2026-08-18T18:13:13.433209,4.86,472.96,['person']
2026-08-18T18:13:14.436874,4.94,472.91,['person']
2026-08-18T18:13:15.477751,4.90,472.91,['person']
2026-08-18T18:13:16.616340,2.82,455.86,['person']
2026-08-18T18:13:17.631551,4.91,455.86,['person']
2026-08-18T18:13:18.713879,4.85,455.91,['person']
2026-08-18T18:13:19.654333,4.70,472.93,['person']
2026-08-18T18:13:20.679163,4.85,472.93,['person']
2026-08-18T18:13:21.787165,4.49,472.96,['person']
2026-08-18T18:13:22.837288,4.87,472.89,['person']
2026-08-18T18:13:23.860437,4.82,472.89,['person']
2026-08-18T18:13:24.925336,4.81,471.00,['person']
2026-08-18T18:13:25.945605,4.80,471.02,['person']
2026-08-18T18:13:27.008751,4.75,471.02,['person']
2026-08-18T18:13:28.019306,4.76,471.02,['person']
2026-08-18T18:13:29.089709,4.78,471.00,['person']
2026-08-18T18:13:30.131300,4.80,471.00,['person']
2026-08-18T18:13:31.156433,4.87,470.58,['person']
2026-08-18T18:13:32.184363,4.83,470.48,['person']
2026-08-18T18:13:33.217082,4.88,470.48,['person']
2026-08-18T18:13:34.245785,4.81,470.48,['person']
2026-08-18T18:13:35.283138,4.89,470.45,['person']
2026-08-18T18:13:36.321209,4.81,470.45,['person']
2026-08-18T18:13:37.357788,4.81,470.45,['person']
2026-08-18T18:13:38.421628,4.81,470.48,['person']
2026-08-18T18:13:39.441566,4.82,470.48,['person']
2026-08-18T18:13:40.469436,4.82,470.48,['person']
2026-08-18T18:13:41.506280,4.80,472.44,['person']
2026-08-18T18:13:42.576609,4.79,472.30,['person']
2026-08-18T18:13:43.587439,4.80,472.42,['person']
2026-08-18T18:13:44.626379,4.81,472.38,['person']
2026-08-18T18:13:45.667810,4.81,470.66,['person']
2026-08-18T18:13:46.711167,4.79,472.54,['person']
2026-08-18T18:13:47.810552,4.82,472.54,['person']
2026-08-18T18:13:48.806047,4.81,472.54,['person']
2026-08-18T18:13:49.860952,4.74,472.54,['person']
2026-08-18T18:13:50.895207,4.80,472.54,['person']
2026-08-18T18:13:51.927606,4.81,472.38,['person']
2026-08-18T18:13:52.986479,4.74,470.63,['person']
2026-08-18T18:13:54.049268,4.81,472.39,['person']
2026-08-18T18:13:55.123766,4.69,472.47,['person']
2026-08-18T18:13:56.146962,4.84,472.47,['person']
2026-08-18T18:13:57.255211,4.85,472.47,['person']
2026-08-18T18:13:58.216025,4.84,472.47,['person']
2026-08-18T18:13:59.326172,4.76,455.48,['person']
2026-08-18T18:14:00.330323,4.83,455.59,['person']
